ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2022-04-27 13:11:11-04:00,16320,9NZhB8VtULVD4bMRA7694UR4YRnrNxixswurNoExWviW,6L3WycDHRoRsipk7YrExynUqgx31P7dNGw9eNU7Jdnnw,True,92243201,23060800,161590,80795,80795,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,6463625,18028220,-11564595,700
2022-04-27 13:11:22-04:00,16321,H3wBiU5HFm5ff8sPgREkEhBUz4HiE8cxfgSxzWVfgSd6,DyVZzezvAvEjwqbriA2jQBXLpMqMPHvXhjkbFX7G4B5,True,7733094018,1229889998,6930561,3465280,3465281,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,435768154,1285555828,-849787674,563
2022-04-27 13:13:03-04:00,16322,CBEv8v9XZrgFT8UdEdd813XnRVv9R7GB5PLMyG8UWGC8,4uNcMEcQpJdThpisgNrttkQJTUFTsjEr25qgjkm4titC,True,58138528,5068224,22541,11270,11271,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,2585774,9787168,-7201394,444
2022-04-27 13:16:17-04:00,16323,CW93ahtJm7jTwZxVCWTAfjpu19qyUZtXo1DrZFFkaSKe,5xLuUAgk9fAvBhPyUaWHfH6c5ejzefLt7X17mEcxvvQW,True,1241854756,104230974,505295,252647,252648,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,60203264,129076994,-68873730,484
2022-04-27 13:16:30-04:00,16324,CzWT7zuiD3Usn1DB8C87kZ3yaLcAd1GXe62cZ5xDdEKa,2AsTxJr8dyhHmccUngu2f6beGE9iiXH4yXhmQ48SpCXm,True,85757457,11630571,60054,30027,30027,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,4428113,25271650,-20843537,516
2022-04-27 13:46:30-04:00,16325,GKbDACVE2yR8WwrMeGfSQuSXLqXR3B1N5YzZ93i5xyeB,B5EEB6xDf7fwwaE6CaJjwsgCNNdUc29tjW1gY2pHiKxq,True,10196500543,2549125135,18086986,9043493,9043493,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,723479455,1649229432,-925749977,709
2022-04-27 13:46:50-04:00,16326,9NZhB8VtULVD4bMRA7694UR4YRnrNxixswurNoExWviW,6L3WycDHRoRsipk7YrExynUqgx31P7dNGw9eNU7Jdnnw,True,70463901,17615975,125513,62756,62757,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,5020535,14975898,-9955363,712
2022-04-27 13:47:54-04:00,16327,H3wBiU5HFm5ff8sPgREkEhBUz4HiE8cxfgSxzWVfgSd6,DyVZzezvAvEjwqbriA2jQBXLpMqMPHvXhjkbFX7G4B5,True,6572708638,940654684,5044020,2522010,2522010,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,352444725,1112966095,-760521370,536
2022-04-27 13:47:56-04:00,16328,CBEv8v9XZrgFT8UdEdd813XnRVv9R7GB5PLMyG8UWGC8,4uNcMEcQpJdThpisgNrttkQJTUFTsjEr25qgjkm4titC,True,53319539,9458251,39889,19944,19945,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,2248748,8915159,-6666411,421
2022-04-27 15:02:00-04:00,16329,CBEv8v9XZrgFT8UdEdd813XnRVv9R7GB5PLMyG8UWGC8,4uNcMEcQpJdThpisgNrttkQJTUFTsjEr25qgjkm4titC,True,43775772,3893121,17353,8676,8677,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,1951344,7916172,-5964828,445
2022-04-27 15:02:49-04:00,16330,9eWpSyu71Z6dmx7yTh7WrbVScdrrZN14d5tfmqEGFgXt,2r89PFKSD9zmSp2Wyx4CQ75HAtmUgwhAS2oG5MuYuiV6,True,3189071115,601605072,4152512,2076256,2076256,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,220122124,878816939,-658694815,690
2022-04-27 15:05:26-04:00,16331,CW93ahtJm7jTwZxVCWTAfjpu19qyUZtXo1DrZFFkaSKe,5xLuUAgk9fAvBhPyUaWHfH6c5ejzefLt7X17mEcxvvQW,True,1135561585,78002948,363463,181731,181732,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,52912773,115538599,-62625826,465
2022-04-27 23:11:28-04:00,16332,GKbDACVE2yR8WwrMeGfSQuSXLqXR3B1N5YzZ93i5xyeB,B5EEB6xDf7fwwaE6CaJjwsgCNNdUc29tjW1gY2pHiKxq,True,7798728756,1949682189,13857285,6928642,6928643,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,554291431,1405205209,-850913778,710
2022-04-27 23:11:39-04:00,16333,9NZhB8VtULVD4bMRA7694UR4YRnrNxixswurNoExWviW,6L3WycDHRoRsipk7YrExynUqgx31P7dNGw9eNU7Jdnnw,True,53948702,13487175,94903,47451,47452,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,3796151,12363686,-8567535,703
2022-04-27 23:12:57-04:00,16334,9eWpSyu71Z6dmx7yTh7WrbVScdrrZN14d5tfmqEGFgXt,2r89PFKSD9zmSp2Wyx4CQ75HAtmUgwhAS2oG5MuYuiV6,True,2614097051,459074670,3154020,1577010,1577010,3zqXX6kzhkbW3d4TwD2CNjMRwxTbREXySekvq37kfCNk,179598583,792511206,-612912623,687
2022-04-27 23:13:01-04:00,16335,H3wBiU5HFm5ff8sPgREkEhBUz4HiE8cxfgSxzWVfgSd6,DyVZzezvAvEjwqbriA2jQBXLpMqMPHvXhjkbFX7G4B5,True,5742495640,726169198,3696550,1848275,1848275,2xTUy2RS74GJMMDnmFaegMzFLn19RVfYG4CibhBmjP1i,292320676,964838200,-672517524,509
2022-04-27 23:13:50-04:00,16336,GKbDACVE2yR8WwrMeGfSQuSXLqXR3B1N5YzZ93i5xyeB,B5EEB6xDf7fwwaE6CaJjwsgCNNdUc29tjW1gY2pHiKxq,True,5967538143,1491884535,10548564,5274282,5274282,DQCvC9mR68hJ3tJsUiddh6JwcBJAmntqGJR2nUsEq7yj,421942570,1181596600,-759654030,707
2022-04-27 23:13:52-04:00,16337,9NZhB8VtULVD4bMRA7694UR4YRnrNxixswurNoExWviW,6L3WycDHRoRsipk7YrExynUqgx31P7dNGw9eNU7Jdnnw,True,41265315,10316328,72436,36218,36218,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,2897460,10127033,-7229573,702
2022-04-27 23:15:24-04:00,16338,9eWpSyu71Z6dmx7yTh7WrbVScdrrZN14d5tfmqEGFgXt,2r89PFKSD9zmSp2Wyx4CQ75HAtmUgwhAS2oG5MuYuiV6,True,2183176560,351344547,2386477,1193238,1193239,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,148290384,719778556,-571488172,679
2022-04-27 23:15:44-04:00,16339,H3wBiU5HFm5ff8sPgREkEhBUz4HiE8cxfgSxzWVfgSd6,DyVZzezvAvEjwqbriA2jQBXLpMqMPHvXhjkbFX7G4B5,True,5063013229,556298595,2658286,1329143,1329143,DQCvC9mR68hJ3tJsUiddh6JwcBJAmntqGJR2nUsEq7yj,241937339,832937279,-590999940,477
2022-04-27 23:16:01-04:00,16340,9NZhB8VtULVD4bMRA7694UR4YRnrNxixswurNoExWviW,6L3WycDHRoRsipk7YrExynUqgx31P7dNGw9eNU7Jdnnw,True,31525586,7881396,56210,28105,28105,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,2248425,8247280,-5998855,713
2022-04-28 04:33:08-04:00,16341,DXZMRSKFgnNdiXHps2xzayuztJNH9EUUz2wkCCneXtW5,9Z2sUfTCZCkmw5n3HSsoLG992AcpJo2qxp7XpJnnBxZM,True,1551861115,387965027,1170569,585284,585285,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,46822819,74591397,-27768578,301
2022-04-28 05:35:58-04:00,16342,CzWT7zuiD3Usn1DB8C87kZ3yaLcAd1GXe62cZ5xDdEKa,2AsTxJr8dyhHmccUngu2f6beGE9iiXH4yXhmQ48SpCXm,True,76399110,9074768,45137,22568,22569,HfEnetJ7uBSmZWCjBNxdvv9HEC5nsW4wDV7wu6WnhWan,3800083,20807300,-17007217,497
2022-04-28 05:42:39-04:00,16343,8qq2gfbca7JXvq4gViBBVT2QAbM4MvBMEQLXgn8UUTvt,3o5jpBVYdFFEYrGRdCUkLrUC85wsuTKgy8iYwnpZyC1B,True,358721072,23548090,106483,53241,53242,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,16221189,146030880,-129809691,452
2022-04-28 06:31:06-04:00,16344,6nk9tB1wMWPaHsp1KXCDDxjwgJ42hfr5Uzp1iTP5RMEX,BQRvPoALymicqgmgRjRPzuNcmypfPUaF88mXWW7suKRg,True,1880407919,470101979,2931568,1465784,1465784,A9TwRM1BMxqb8DCC7YNAMV6zPenEJm3HTZBy7wJKK58U,117262758,179862498,-62599740,623
2022-04-28 08:39:24-04:00,16345,5V5gFVMYSwGYfHFecRoHg8G22Rg4bXfVK2FSRTMhPQty,73raXd5MvixmDvJRnVjRL7yQaHZGFRiC9aBxL9ysiRvy,True,408360386,102090096,725213,362606,362607,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,29008555,49229030,-20220475,710
2022-04-28 08:39:31-04:00,16346,CzWT7zuiD3Usn1DB8C87kZ3yaLcAd1GXe62cZ5xDdEKa,2AsTxJr8dyhHmccUngu2f6beGE9iiXH4yXhmQ48SpCXm,True,67198183,6866653,32054,16027,16027,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,3136913,17118907,-13981994,466
