ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2022-03-02 13:00:21-05:00,19518,6,1976012916,11706885461868,9491679217106,16554450440,16559192871
2022-03-02 13:00:23-05:00,19519,2,7484019601666,48246196671745298,37689462480484467,29659485329061,29677446976105
2022-03-02 13:01:51-05:00,19520,1,24244861655000,1001015196931009823,449358235750080046,441503375259631,441561562927603
2022-03-02 13:02:31-05:00,19521,5,585591855833,2903192580385654,1273643227931856,4102992340213,4104397760667
2022-03-02 14:00:01-05:00,19522,8,-5187051250,157557629264852,77110513664257,185921235148,185908786225
2022-03-02 14:00:03-05:00,19523,0,41242999583,1474527849296679,403098139400453,1017843666436,1017942649635
2022-03-02 14:00:04-05:00,19524,3,-404007885833,-102559650203813,-161556868995391,917322052586,916352433660
2022-03-02 14:00:14-05:00,19525,7,-78492062083,243416269422254,240966124857779,317282144406,317093763457
2022-03-02 14:00:18-05:00,19526,4,302251739583,202330694368321,35723263706564,837167985226,837893389401
2022-03-02 14:00:18-05:00,19527,10,3265234583,1073721490803,1073721490803,8203079366,8210915929
2022-03-02 14:01:03-05:00,19528,12,-256035322083,44171099965022,29782680555587,1104005820744,1103391335971
2022-03-02 14:01:24-05:00,19529,9,6340267500,665359218286,665359218286,9414198080,9429414722
2022-03-02 14:01:32-05:00,19530,6,3962312500,11710847774368,9495641529606,16433624215,16443133765
2022-03-02 14:01:34-05:00,19531,2,8155510040416,48254352181785714,37697617990524883,29508613911788,29528187135885
2022-03-02 14:01:35-05:00,19532,1,49759529694166,1001064956460703989,449407995279774212,438950103890435,439069526761701
2022-03-02 14:01:35-05:00,19533,5,1330216310416,2904522796696070,1274973444242272,4089048255977,4092240775122
2022-03-02 14:01:48-05:00,19534,11,46049096250,40207692378734,40207692378734,464215957532,464326475363
2022-03-02 15:00:00-05:00,19535,3,-272477114166,-102832127317979,-161829346109557,905817503513,905163558439
2022-03-02 15:00:04-05:00,19536,6,6046435416,11716894209784,9501687965022,16359645298,16374156743
2022-03-02 15:00:04-05:00,19537,7,-70329858333,243345939563921,240895794999446,317430268949,317261477289
