ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-05-09 19:09:12-04:00,198451,BoJjUjJR1vADJ6VUoSBFrh4DePrczurgJ2DacWEWsvyA,7WMK9ywqYMJhBt3Zigy4sqJE4fnrcMqnZHDsxMouGcJ,DepositDirection.WITHDRAW(),1874148778,3271415755,168982991
2022-05-09 19:09:14-04:00,198452,CGoNGPvRfdVcKaZtmC5RXiYnBCFbTxCc9wtGozqCPCXc,9oQ56Nri2eSoFErKJ4Paxxth3PNx8tV8yyvspYDT5CrP,DepositDirection.WITHDRAW(),123356480,105074726,29299155
2022-05-09 19:09:31-04:00,198453,7YW8GhJS3TwYBq714bykZTkvvkVh9hL8CDgTSRodFyUh,4xN4oFMn5qjyZYCvwiE1xyWri7brS1ACUSZ1BsS2zQ3w,DepositDirection.WITHDRAW(),2050532338,-40000000,51000000
2022-05-09 19:09:43-04:00,198454,AhcXPqCtvSjS6n3CWiqJh2nywji1NVkA29awfvEmFrwR,74GiPrLp7wQZT2s97DjmiaVXeCx6MMVBcmFyBkDX3p3,DepositDirection.WITHDRAW(),922189404,691695095,118453962
2022-05-09 19:09:54-04:00,198455,9rLww2cvR5BtMXqjau3CEx2pv496Wv839oWZ7SoeS9ZF,3nmcwUMPdUHtD3Q6sCVSjAiTXqcDfpncdhEy7wSbkGxi,DepositDirection.WITHDRAW(),931279792,-24738010,782271607
2022-05-09 19:09:57-04:00,198456,H1pWAq22daAH5JXAbYSU9kNMhEhrDvtRYqC6WRX3Ptmw,EA4FP8SM7aUfeUW7cb56LUcpK72fuPTqZZauZzsJuFY9,DepositDirection.WITHDRAW(),184180681,212423563,16163287
2022-05-09 19:09:59-04:00,198457,GVPB8gGWPqPridyUmDwXwZpvh87NFCoDTBqPftYsAdR4,GxqY3zjKxShYfrRbfcZXfeQzktcG2TFzuAwQEb4TJHgz,DepositDirection.WITHDRAW(),33268422637,0,13000000000
2022-05-09 19:10:01-04:00,198458,2TBc2eE1tZcL1cuiUmF5bdbpZ72D7eei8PPbQ3br973W,57Bnq24rMmCa9EzxQpiPV6qL8Yfd7wmkoEdrYZYeSCG6,DepositDirection.WITHDRAW(),13903621515,11786711872,1143957120
2022-05-09 19:10:16-04:00,198459,2mH793puVseRe9hq3FRLGtESwzSsm35ZHSvJ3xxSKS3B,CZhp2M3HLMBHC8ZvR1h9UxEamNE9Hpy8dFvof4PNgNF5,DepositDirection.DEPOSIT(),1996956224,5497000000,50000000
2022-05-09 19:10:55-04:00,198460,G2mUmsz4svtL3JdvACtSTVTktuwrg1dYZP7tp8Fv858q,CK7MYQdziVjxDh9q1tW6DW5ZG3VhjXAcgjn9a7UKqiRb,DepositDirection.WITHDRAW(),224121261,444018434,34002049
2022-05-09 19:10:55-04:00,198461,2UTctBws48ZqXqn6yCMEBYE7scXkuSgWkUeyceE33L5z,5wu1XWeV4uaqvJgx3wfqrZEYeZ31n41SEA1fs5jjVJgD,DepositDirection.WITHDRAW(),314775507,1117228580,18617102
