ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-05-07 11:27:17-04:00,704534,CjV8V1GJRfXEs7Me8FxbGRVuqqvzkUAFFWBVAy56sDMc,4ShTirpoxBDKZgqy2A16N3zRAfMkUiYcdGJikGrsjBU7,18,-90031319157,-1488200000000000,-2099516306212,0,-2105565984962,-2105565984962
2022-05-07 11:28:08-04:00,704535,DQ7NWt9etwcxYsnk8ApBhvXb2QcG3DBNSdsp8ECoVFTE,B4XcQHzAsW3o4GN3bJ4git1VxW7RSAW9FsmgJ3XCqSJa,5,-1265111255256,88911595550986,3506720494129301,0,3508143380815134,1878594028361336
2022-05-07 11:28:08-04:00,704536,DQ7NWt9etwcxYsnk8ApBhvXb2QcG3DBNSdsp8ECoVFTE,B4XcQHzAsW3o4GN3bJ4git1VxW7RSAW9FsmgJ3XCqSJa,13,-133984188023,18962810669763152,1127271713622,0,1127978276538,1127978276538
2022-05-07 11:30:15-04:00,704537,BLhFkXqiCSj18qNk77dEbyRJGVW6T94fqY24P8yTun3f,7KaD3MzMMKtuYW7STnmEr17LgUjpcwSaZs22UerHkSRj,5,51465811426,-3617000000000,1877171141675503,1651932161,3508143380815134,1878594028361336
2022-05-07 11:32:20-04:00,704538,Dmdk9yCYtcPYmiAbU6WtguSc3QgDiv84SAd5PvZf4UdL,BBQuf4dp5Yf9WDAWkC7Eh1NAvEdZ7M7uH7GFF3MnrsQh,13,-338879466697,47961683103319129,1127271713622,0,1127978276538,1127978276538
2022-05-07 11:33:20-04:00,704539,4SgVHYsMDJJPjZJHSbT1hL8VLQ7S2YJHzFpfYRxzBaKh,9wQ312gz2bFQEdr9QphCpsQo7fviEDEytefsecrW5fMj,4,-440534879882,-2490013326022345,141900820182238,1651932106,308490558774829,141883128113072
2022-05-07 11:35:22-04:00,704540,tugzo2tcWzHQS7tKr5SjPMAG7YJqyMgKLbTZHyhkbbG,4bZgf8hVwhiw3E8aWRCbkn9raM4fcjmo9xCUPaE6tWHp,1,11943529133937,-306000000000,531130526618761517,0,1086690601895749202,535033640714819425
2022-05-07 11:35:32-04:00,704541,4YHGc6ixdDntdiA3ahw1VsPbFLkB9LnrQpLgPQ2BZ6d2,E3JjJBqh97Q7uLckafyYuKPiHJyLSjUJsp3MXjFPDANX,1,-11904497992976,305000000000,1082787487799691294,0,1086690601895749202,535033640714819425
2022-05-07 11:38:52-04:00,704542,AQqCtmRSWeSd1mYeFTuqi8iRgn4Me5tajVKTrfo12YaF,HaHu51s71roNiWN8A66psTou4Co9eLoPySoc427Rf79V,1,-1229953039558,323555028972,1086310464692051286,1651928449,1086690601895749202,535033640714819425
2022-05-07 11:40:14-04:00,704543,2CNK48vNgT5zmY3iebFCqxFuTckhoDvGH41t2quazNnM,CUv58cNRDFioc1cC9nkdapAiyMcxtuxHxgWHN1mK1GY9,19,-222630285953,20799999946343990,-66360149584,1651932007,-65289811668,-65289811668
2022-05-07 11:42:14-04:00,704544,CUp1Frxar5WdcbJZEcba5YjMx1dGWvWJG7kiVAsmTrsj,96qYpdP3R5Qe3zfkDMNP1b3z3xH1yggMuFDNtSVK2bnY,19,118010406022,-11025527943876243,-66360149584,1651932007,-65289811668,-65289811668
2022-05-07 11:43:44-04:00,704545,FG4HtNszTZ8mCDqqXeha79njfrxvXgWk2dySAfMsRcDW,FtKKCZLnGMksh6QkmAcafmG97q33jgiRjdrJSAiWEfZ7,1,638422401074,-108000000000,534442508861972760,1651918604,1086690601895749202,535033640714819425
2022-05-07 11:43:44-04:00,704546,FG4HtNszTZ8mCDqqXeha79njfrxvXgWk2dySAfMsRcDW,FtKKCZLnGMksh6QkmAcafmG97q33jgiRjdrJSAiWEfZ7,0,-97116793292,-60800000000000,559894447296871,1651921214,1631164425625182,559734715728956
2022-05-07 11:43:44-04:00,704547,FG4HtNszTZ8mCDqqXeha79njfrxvXgWk2dySAfMsRcDW,FtKKCZLnGMksh6QkmAcafmG97q33jgiRjdrJSAiWEfZ7,4,48926260165,-311100000000000,141867401253488,1651921217,308490558774829,141883128113072
2022-05-07 11:43:51-04:00,704548,qYnBc3Tk4i5bmmaV97R5npp99AdApJzjEDMcmBwhrmv,74ziLJiaYZ7BtN5vvEnKcbAw59cZPZn5sbx1ufpgUd54,18,-597708260500,-9880000000000000,-2099516306212,0,-2105565984962,-2105565984962
2022-05-07 11:46:48-04:00,704549,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,4,-20044502300368,-113296540457174820,141900820182238,1651932106,308490558774829,141883128113072
2022-05-07 11:46:48-04:00,704550,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,3,-8069120305209,-3747431309843883,-624294643986982,1651932032,-565512749230404,-624509968021982
2022-05-07 11:46:48-04:00,704551,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,Hhg7YESg8Zf4oqCTg44Sfepg37ArQ4DdtTb9XCj1JfYq,6,144859632841753,-4513463008088703512,13639496983162,1651932209,15857912728757,13642706483995
