,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
31,ErPqcjgsETjtT6Jxjkjj7RvwiJuFh2YMHmpSCbgYVBEh,7KYxkHSqUSyqv11f2p5eypU2sL7rDnLwT7bLy3L3fJb,,,,,,
32,D3gnctosqTZxTQNfLJQRdPgCvGx2JLLHHDmcvW5UX1QN,8w1hzDtCFuTJqWAtwihztrPzxwa7YrJH5uPk877SJnNj,,,,,,
33,7nwgBxaG6QLhomV768vgygafXm4zqvMDo8o4P6hRRvwu,6GYSfRLahLYUN9uiswJpkFfbQmnWJsALWVnE6F5HPPGn,,,,,,
34,CD5qq1Wt8zkHcP9f4THXZasXoMzV9CEKsXkqu4yNTgdn,o4NutGhJYiU4R2WtdFLUtWhm7wH4X1GsgxZXNMajfU3,,,,,,
35,GCZrZvQcMbR7TDP8SYuoSEydTMCN9AYFHLxd5ycrdX2j,Fw3it9yQjPpKdtyqSoqBDEV9BRengbU4Ag8Vgv7FBqKb,0.0,4.0,238328.9,-2826.189313174756,-2.75160899599501,84.32871035531477
36,GCZrZvQcMbR7TDP8SYuoSEydTMCN9AYFHLxd5ycrdX2j,Fw3it9yQjPpKdtyqSoqBDEV9BRengbU4Ag8Vgv7FBqKb,1.0,6.0,144459.59,-70220.83601088097,0.00405376530408,2.057218315908621
37,EwNXZggovgQ2cYFV1i5yb4TgXu5UZzwTNNXNDzyGxoZT,8Bk18DSmFX2m7gauc6zYdUtKrP8mXFR6oEu5zNGqgyfw,,,,,,
38,4q9X67SCKqaGXmJ9Fv77aUkjSQ7hJ8BaRs3FRLscNKQh,8USqxUyR8myKafnNybrE9Aj1K3982TQY1KkXccnNt3ZC,0.0,0.0,224.5,-1.3188491652869,-4.89306684596053,170.2241665756847
39,2hN3AH1f5w3qZDR971JvjU9P75fKS5LJN1CMECGtvauL,3nb3quKgqM6hQusWYWsfZPgLwPbVVG1fPYB8JCSPz9ZA,,,,,,
40,9kG7BrpuFUgF1CkqBfUEJgyVwK338eHMFAJfqvBy63E2,53LQyY375e9D9Lt5KCueA28GwzeBeb53W4V9Qszcd6D,0.0,0.0,0.0,-1.13788204e-05,-2.19872026587358,0.0
