,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
5159,HwMdPKabtCSiMZPhXGZjxMKg7RVwxfHSJGt6FW6XKKN5,0.0,11586.49,1285.904,-11586.49,-1.0
6420,4X9dwNiuc2AQB5CXLHmzuc53RNZVAgG9rYDMSJvjTZki,0.007,19566.53,1245.166,-19566.523,-1.0
6750,2q6ZezY218nwaTpZhrUVqP31ffW3oxcgLd6LnV83tSkc,185.261,4735.38,1230.779,-4550.119,-0.961
4093,3pLXU9sRs9PeLjtqRH3FJoFZxvzKQqsFTjHm5rzNxDz6,8932.814,23526.52,1151.798,-14593.706,-0.62
5051,sprtBZumUnXxAvQ3zKTXgMVAf9hzcKs2PXAPDxaWANR,4891.882,-1164.82,1136.229,6056.702,inf
823,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,70741.053,82353.62,1111.375,-11612.567,-0.141
1216,HRiw9DATgaa4UF5hknz7zYhUn4z5zZU6P5SEe9JAkULm,29679.323,47690.98,1074.981,-18011.657,-0.378
2572,BVykpLYZy9GigxJBEgMQ5ZeXciEEu793EvieBXCYV9sE,136689.821,100000.0,1072.003,36689.821,0.367
3170,6iVHHVZXGaijkt3qHgopXp1AUDRekEV4BuW8X2KnxEQm,535.628,-885.0,949.225,1420.628,inf
353,31tyt6M4RuSjM1pZ9tXbPSdVDNr7q4CU66tHD5soPHkT,1182.706,668.57,945.003,514.136,0.769
5663,EYt1Pzqfwnd4iXSmcpw4T3Edmm1y3GnRhCjcQEEK4Atj,8041.311,14585.24,939.096,-6543.929,-0.449
1574,H516pmwjngstZYyPWp429NcSMM3YLLDFd8dV7k6qcGJ7,1536.18,800.0,938.201,736.18,0.92
1903,F2AU2PjaSmHxWWhkz8XxMggkCMWbMVgawt89tSnYS6RL,809.779,411.0,920.22,398.779,0.97
5710,EV1jndTEhcxMZwNNVmCWAr7yxC7zACM4GiCAsHKesy8z,2229.076,2375.0,901.958,-145.924,-0.061
2529,skynetDj29GH6o6bAqoixCpDuYtWqi1rm8ZNx1hB3vq,0.001,2063.13,898.353,-2063.129,-1.0
3460,3pJYfZDNyqfY2zS1PucJYUfcXDFwExyyD1qRX2cbp36H,0.0,-933.79,887.489,933.79,inf
2024,5NLu7kG3RMVC5TexFV4Zhx6EeYyckFsnj4dEJrhunSaK,0.001,-3203.13,876.516,3203.131,inf
3703,DpUAPMcveEZq97KAVriRaMH8DqeEbpfVYpdNH2sjnzAg,0.003,968.18,812.462,-968.177,-1.0
5062,5LGJvGBc51u77u1P4GjZa4nv1QXbRqBWYH6Mu5gzXfbF,1859.846,200.0,789.0,1659.846,8.299
3100,HrUr1pRxqXJ72RaSSdv4GXbRWLW32EWgjEtt6uiaQp9v,45876.17,55073.91,786.618,-9197.74,-0.167
2772,Crh33YTWQp3m1yg65TXQcfSFP7PRcximY5pxjoASrZ66,1605.317,850.0,782.506,755.317,0.889
329,Ge2DifzgzbeE5D5LojV819TV8SbSNGBC3bfYJZ3JEvGn,0.002,24936.51,774.973,-24936.508,-1.0
4274,7sDGtVCQKLTBdufeobxvHdyKzKqtKRTpQqgXhSjypstB,1473.57,300.0,774.096,1173.57,3.912
6131,9RHywwguv9yVRsNUYtrgccrYREsFjMZnhk3uYQMVGA5m,35425.716,33977.9,760.88,1447.816,0.043
109,6rgh53R9uuTNdknA9aXMKfkMmkzevzPneqCvqLZFPKQ9,96101.475,100000.0,748.975,-3898.525,-0.039
793,8AhMgKNmKmYtDnc6YCvK6GRmbEM8RmbAkjSSCdJz4Mag,1590.666,1900.9,748.798,-310.234,-0.163
6382,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH,26195.8,20763.0,732.921,5432.8,0.262
4770,Fn1ixp3vtHgcNzbRgXcqrWnh2EXaV4xr86MpPUj4zZNr,1477.492,581.0,727.677,896.492,1.543
4147,98wDipFj4he5R4N9NJFdFxNk6S5oBVTgCJnxKmfiyo4i,0.008,8854.62,710.788,-8854.612,-1.0
5023,ALcsCijmdrEJuvr2yckqFNoNKn41QvwftLjJfHkE6E9k,0.003,-2490.77,702.067,2490.773,inf
2943,hr53rd5qvaDf3nseDm7r2euWo2BtwhoC86qgAGUPd6g,28893.217,33788.0,642.269,-4894.783,-0.145
1949,Fu8vsnaTtfbmqg6butkTTRdqUtipcAwPDrVFhDpENbB3,0.002,-4122.63,640.311,4122.632,inf
6593,E1pGaojzrXRkkLNn6vztAFAnTk2buajbZPhd9PsFaoBt,1522.557,700.0,633.997,822.557,1.175
1039,H2fWYP5YT3wjGWjVdA7YbbkAvUzKkgWRPi8W4HcrrZXf,0.006,2061.84,632.878,-2061.834,-1.0
2789,9sVFFXkqnCDdf4uvVroXy9Hx5eYWSWvr7iQ4fjC54eUT,0.009,1043.38,626.986,-1043.371,-1.0
5269,7xNAf91E6XkKAT3BfySbxTbJoR6UaBFU3W4yY5pkLTG2,0.001,-654.742,618.919,654.743,inf
5893,67Hsyi88bGHgCNMTBLJYbh5ASseXC3mZXX8ngxjLwAYa,3012.71,4597.04,599.922,-1584.33,-0.345
4924,2DEiHSwRUnrkbnDGJ3MbodNVQRv51dmNCaCzLURswiQK,0.009,859.74,589.236,-859.731,-1.0
3020,4RZKFLwySHB8PqqURzmEqcL2xu28cSFK231v3VjFjaEr,1598.0,800.0,577.902,798.0,0.998
4186,FuruqqkoyqKU7keqGnoD6r3u6pTTEAT7P4kBpcp1RfLg,1724.662,1100.0,566.516,624.662,0.568
4436,4FBxEUi6xk858uNnb3sHewSeyVNy3W4ckK8zPTWtZN8N,2135.001,92.1,558.529,2042.901,22.181
1628,HZes47J4gi33MV8tQf91jCpVCHJTTvh7TAHCb3ivrbmS,99877.408,100000.0,555.708,-122.592,-0.001
4415,FkwupAkktNRnWVPZPectLE8nxWAW2qKceFjVRo6hUgQH,0.001,637.48,555.094,-637.479,-1.0
948,3Ex22AwHJS9ogDMi3o2tF1zWikT1jPAhDu3xgZd2DyWr,0.002,586.72,536.43,-586.718,-1.0
1336,2PSy8GuWYnWc8QzgPEbcAZN63nckUrw8i2B85zoFYbDK,1628.972,700.0,530.275,928.972,1.327
3835,Hzd8AHfLfMzXThppwPWMEQKdaq8ko7MpyMUDgEHE5ALj,1088.665,2070.73,529.405,-982.065,-0.474
6516,2yH4iJWVSDWHGjm5J95sbsRbHGA81VNPaox8xz8DWQaG,10815.714,9999.08,519.624,816.634,0.082
2918,Eo5LYLiUCspbrK13ker5skq9kMjnpUJEJPSbRDWjH6V4,3662.028,2080.0,518.964,1582.028,0.761
243,CUpCJFePUgDX4r8C5Qa1PcqCyUiBL2SJaAnsSozT5X3T,1474.832,0.0,517.866,1474.832,inf
2554,FdTAqsWSBA1vKUYgeRPLjqhTWuTtuGYU3SJAAJb1y9jA,0.006,606.89,500.791,-606.884,-1.0
1275,5xg4VMKZPExfoUeBWHVyzLor92Tp4fJaghwrpXpJ9YDs,0.009,1803.27,498.81,-1803.261,-1.0
364,H3cLB8c4qghtSba8cdsNTDsQEzL3qe6Q5eRs93k6QZXf,0.002,684.76,495.153,-684.758,-1.0
5048,D8EFF8AWToTTmBtmXBrKRd3GoRWwQKHYQtb1LDiWzRxD,8701.851,12575.0,489.722,-3873.149,-0.308
2051,4h9D9KPuEwMV7mQX74rmAWAfJ2FBemX37mstMP6EWVMq,1488.356,900.0,488.448,588.356,0.654
253,8B7St5xcPrd9witNh9rrqGSSdXa9hN85y8d8SNcbH8dB,98798.275,100000.0,485.426,-1201.725,-0.012
537,9pEArHtaXLJT3Byxom7eHPqN33JQReQW7nc9sBM2WM2X,0.001,793.37,478.608,-793.369,-1.0
1831,6jzYMhMNgTy9h2FHZ5sX182aK46JMfAFbn85PLhucSuN,0.007,510.95,472.284,-510.943,-1.0
70,8xjnYSvkcjdkwZdTeFq2YzLPcg41f2Lk2mGLxzaFiXv4,32684.701,18902.0,467.604,13782.701,0.729
5118,Ba3eKY3FnPYP7VP6qYS95b2eChzejESgJ1terfnqFk4J,0.003,478.93,466.941,-478.927,-1.0
5003,AJ92BJQyMufrHTS458oU3y4cN2RiykR3mNzTR9miuWvM,0.001,536.16,466.681,-536.159,-1.0
3524,7PNqGpRUDwHgFBCU8qn89Wbs3bJLM6oURd5eWQy8h4MJ,1589.031,700.0,458.038,889.031,1.27
5506,CuqQx6x3Qjqk7hct2Cuq3rVPCD9ScsUR5cX1nnQXUTtQ,75636.407,100000.0,448.53,-24363.593,-0.244
6257,J2gTwrYpzezkRupgBtgudQn5D33x6WjeBhTHnrA1qgqa,0.005,67190.93,431.703,-67190.925,-1.0
1016,57Egm7BLeEhC2shUtHE2CTrFZP793uzgzJxxAGUYziKg,0.001,516.94,424.37,-516.939,-1.0
2453,3b65qRtTUZK9pADVq1NDvLnmx1ZgjPeXQdznxcf72imi,0.008,619.93,422.507,-619.922,-1.0
2923,8MKNsuGVaoYpdQy6NNyxDvRzh2DAquBUtri4nDsixUxs,5016.655,2904.04,422.468,2112.615,0.727
5692,3UunurRNn4m3nmqvaPAXAX5cT9ZcghSVQi4NSgz9u22d,2121.385,1200.0,418.402,921.385,0.768
